id,name
1,"WAL-MART STORES, INC."
2,"EXXON MOBIL"
3,CHEVRON
4,"GENERAL MOTORS COMPANY"
5,CONOCOPHILLIPS
6,"GENERAL ELECTRIC"
7,"FORD MOTOR"
8,"CITIGROUP INC."
9,"BANK OF AMERICA CORP"
10,"AT&T, INC."
12,"JPMORGAN CHASE & CO."
13,"AMERICAN INTERNATIONAL GROUP"
14,HEWLETT-PACKARD
15,"INTERNATIONAL BUSINESS MACHINES"
16,"VALERO ENERGY"
17,"VERIZON COMMUNICATIONS"
18,MCKESSON
20,"THE GOLDMAN SACHS GROUP, INC."
21,"MORGAN STANLEY"
25,"UNITEDHEALTH GROUP"
27,BOEING
30,"MERRILL LYNCH"
31,TARGET
32,"STATE FARM INSURANCE COS"
33,WELLPOINT
34,DELL
35,"JOHNSON & JOHNSON"
36,"MARATHON OIL"
37,"LEHMAN BROTHERS HOLDINGS, INC"
39,"UNITED TECHNOLOGIES"
40,"WALGREEN CO."
41,"WELLS FARGO & COMPANY"
44,MICROSOFT
46,"SEARS HOLDINGS"
47,"UNITED PARCEL SERVICE"
48,PFIZER
50,"TIME WARNER"
51,CATERPILLAR
54,"FANNIE MAE"
57,SUNOCO
58,"LOCKHEED MARTIN"
59,"SPRINT NEXTEL"
60,PEPSICO
61,INTEL
62,"ALTRIA GROUP, INC."
64,"MONDELĒZ INTERNATIONAL, INC."
65,ALLSTATE
67,"BEST BUY"
69,FEDEX
72,"CISCO SYSTEMS"
73,"JOHNSON CONTROLS"
76,"AMERICAN EXPRESS"
77,"NORTHROP GRUMMAN"
78,"HESS CORPORATION"
80,COMCAST
81,ALCOA
84,COCA-COLA
86,AETNA
88,"GENERAL DYNAMICS"
89,"TYSON FOODS"
93,"DELPHI CORPORATION"
95,"LIBERTY MUTUAL INSURANCE GROUP"
96,"HARTFORD FINANCIAL SERVICES"
97,"ABBOTT LABORATORIES"
100,"MASSACHUSETTS MUTUAL LIFE INSURANCE"
103,"DEERE & COMPANY"
104,APPLE
105,"COUNTRYWIDE FINANCIAL"
110,AMR
112,"EMERSON ELECTRIC"
113,RAYTHEON
115,"INTERNATIONAL PAPER"
116,"ELECTRONIC DATA SYSTEMS"
117,TESORO
118,"CONSTELLATION ENERGY"
121,MANPOWER
124,"OCCIDENTAL PETROLEUM"
128,WHIRLPOOL
132,EXELON
138,ORACLE
139,AUTONATION
141,"FREEPORT-MCMORAN COPPER & GOLD"
145,XEROX
149,FLUOR
150,ANHEUSER-BUSCH
151,GOOGLE
154,NIKE
155,"UNION PACIFIC"
160,"ANADARKO PETROLEUM"
161,"BURLINGTON NORTHERN SANTA FE, LLC"
165,"OFFICE DEPOT"
166,AFLAC
168,HALLIBURTON
171,"COMPUTER SCIENCES"
172,AMAZON.COM
173,"THE BANK OF NEW YORK MELLON CORPORATION"
174,AMGEN
182,CBS
185,"SUN MICROSYSTEMS"
186,"TEXAS INSTRUMENTS"
188,"QWEST COMMUNICATIONS"
191,"PEPSI BOTTLING"
192,VIACOM
196,"CONSOLIDATED EDISON"
